TIC_ID,Sector,p_r
4.695261940000000000e+08,2.400000000000000000e+01,4.549589999999999890e+01
4.216309770000000000e+08,1.600000000000000000e+01,6.511730000000000018e-01
4.216309770000000000e+08,1.700000000000000000e+01,6.511730000000000018e-01
3.281759660000000000e+08,1.600000000000000000e+01,2.622259999999999813e+00
3.281759660000000000e+08,1.700000000000000000e+01,2.622259999999999813e+00
3.152706850000000000e+08,1.600000000000000000e+01,1.677850000000000108e+01
3.107702900000000000e+08,1.400000000000000000e+01,1.502669999999999950e+00
3.107702900000000000e+08,1.500000000000000000e+01,1.502669999999999950e+00
3.107702900000000000e+08,1.600000000000000000e+01,1.502669999999999950e+00
2.368948600000000000e+08,1.400000000000000000e+01,2.121160000000000156e+00
2.368948600000000000e+08,1.500000000000000000e+01,2.121160000000000156e+00
2.368948600000000000e+08,1.600000000000000000e+01,2.121160000000000156e+00
2.368948600000000000e+08,1.700000000000000000e+01,2.121160000000000156e+00
2.368948600000000000e+08,2.400000000000000000e+01,2.121160000000000156e+00
3.656886800000000000e+08,1.500000000000000000e+01,1.094130000000000047e+00
3.656886800000000000e+08,1.600000000000000000e+01,1.094130000000000047e+00
3.570925970000000000e+08,1.500000000000000000e+01,2.677880000000000038e+00
3.570925970000000000e+08,1.600000000000000000e+01,2.677880000000000038e+00
4.293395590000000000e+08,1.500000000000000000e+01,4.764170000000000016e+01
4.293395590000000000e+08,1.600000000000000000e+01,4.764170000000000016e+01
4.293395590000000000e+08,1.700000000000000000e+01,4.764170000000000016e+01
3.222618270000000000e+08,1.600000000000000000e+01,7.033139999999999947e-01
3.222618270000000000e+08,1.700000000000000000e+01,7.033139999999999947e-01
3.222618270000000000e+08,1.800000000000000000e+01,7.033139999999999947e-01
3.222618270000000000e+08,2.400000000000000000e+01,7.033139999999999947e-01
3.222618270000000000e+08,2.500000000000000000e+01,7.033139999999999947e-01
3.389256190000000000e+08,1.700000000000000000e+01,5.000000000000000000e+01
3.389256190000000000e+08,1.800000000000000000e+01,5.000000000000000000e+01
3.389256190000000000e+08,2.400000000000000000e+01,5.000000000000000000e+01
6.390330900000000000e+07,1.600000000000000000e+01,5.367110000000000269e+00
6.390330900000000000e+07,1.700000000000000000e+01,5.367110000000000269e+00
6.390330900000000000e+07,2.400000000000000000e+01,5.367110000000000269e+00
4.239504190000000000e+08,1.600000000000000000e+01,8.843450000000000477e-01
4.239504190000000000e+08,1.700000000000000000e+01,8.843450000000000477e-01
4.239504190000000000e+08,1.800000000000000000e+01,8.843450000000000477e-01
4.239504190000000000e+08,2.400000000000000000e+01,8.843450000000000477e-01
3.054683450000000000e+08,1.500000000000000000e+01,7.302629999999999955e-01
3.054683450000000000e+08,1.600000000000000000e+01,7.302629999999999955e-01
3.054683450000000000e+08,1.700000000000000000e+01,7.302629999999999955e-01
3.054683450000000000e+08,1.800000000000000000e+01,7.302629999999999955e-01
3.054683450000000000e+08,2.400000000000000000e+01,7.302629999999999955e-01
3.058498930000000000e+08,1.500000000000000000e+01,1.221109999999999918e+00
3.058498930000000000e+08,1.600000000000000000e+01,1.221109999999999918e+00
3.058498930000000000e+08,1.700000000000000000e+01,1.221109999999999918e+00
3.058498930000000000e+08,2.400000000000000000e+01,1.221109999999999918e+00
3.302469730000000000e+08,1.600000000000000000e+01,1.422269999999999923e+00
3.302469730000000000e+08,1.700000000000000000e+01,1.422269999999999923e+00
4.693866560000000000e+08,1.500000000000000000e+01,4.764170000000000016e+01
4.693866560000000000e+08,1.600000000000000000e+01,4.764170000000000016e+01
3.163105770000000000e+08,1.600000000000000000e+01,4.549589999999999890e+01
3.163105770000000000e+08,1.700000000000000000e+01,4.549589999999999890e+01
3.163105770000000000e+08,1.800000000000000000e+01,4.549589999999999890e+01
3.163105770000000000e+08,2.400000000000000000e+01,4.549589999999999890e+01
